disease,full_name,orphacode,alternative_names,prevalence,inheritance,category,affected_systems
walker_warburg_syndrome,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:272,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:272,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",multigenic/multifactorial,malformation of cortical development,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:272,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:2573,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Walker-Warburg Syndrome,ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
pachygyria_cerebellar_hypoplasia,Walker-Warburg Syndrome,ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2573,"FCMD, Fukuyama congenital muscular dystrophy","1-9 / 1,000,000",autosomal recessive,cerebrovascular disease,Nervous system
walker_warburg_syndrome,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:899,"PKAN, Pantothenate kinase-associated neurodegeneration","<1 / 1,000,000",multigenic/multifactorial,malformation of cortical development,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-5 / 100,000",unknown,cerebrovascular disease,Nervous system
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:272,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:157850,"PKAN, Pantothenate kinase-associated neurodegeneration","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
moyamoya_disease,Fukuyama Muscular Dystrophy,ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,neurodegeneration with brain iron accumulation,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:272,Cerebellar hypoplasia-pachygyria syndrome,"1-9 / 1,000,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,Nervous system
hallervorden_spatz_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",multigenic/multifactorial,cerebrovascular disease,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:157850,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,Nervous system
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:2573,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:272,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
moyamoya_disease,Walker-Warburg Syndrome,ORPHA:2524,"WWS, Cerebro-Oculo-Muscular Syndrome","1-5 / 100,000",multigenic/multifactorial,neurodegeneration with brain iron accumulation,Nervous system
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:899,"FCMD, Fukuyama congenital muscular dystrophy","1-2 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,"Nervous system, Muscle"
hallervorden_spatz_disease,Fukuyama Muscular Dystrophy,ORPHA:272,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
hallervorden_spatz_disease,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-9 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"PKAN, Pantothenate kinase-associated neurodegeneration","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",unknown,malformation of cortical development,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",unknown,cerebrovascular disease,Nervous system
moyamoya_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"1-9 / 1,000,000",autosomal recessive,malformation of cortical development,Nervous system
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:272,"WWS, Cerebro-Oculo-Muscular Syndrome","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,neurodegeneration with brain iron accumulation,"Nervous system, Muscle"
hallervorden_spatz_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:157850,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,neurodegeneration with brain iron accumulation,"Nervous system, Muscle"
pachygyria_cerebellar_hypoplasia,Walker-Warburg Syndrome,ORPHA:2573,"WWS, Cerebro-Oculo-Muscular Syndrome","<1 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
hallervorden_spatz_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"1-9 / 1,000,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
pachygyria_cerebellar_hypoplasia,Walker-Warburg Syndrome,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,cerebrovascular disease,Nervous system
walker_warburg_syndrome,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",multigenic/multifactorial,neurodegeneration with brain iron accumulation,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,cerebrovascular disease,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:157850,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",multigenic/multifactorial,neurodegeneration with brain iron accumulation,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2573,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:899,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Fukuyama Muscular Dystrophy,ORPHA:272,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,Nervous system
pachygyria_cerebellar_hypoplasia,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",multigenic/multifactorial,neurodegeneration with brain iron accumulation,"Nervous system, Eye, Muscle"
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:2573,"PKAN, Pantothenate kinase-associated neurodegeneration","1-5 / 100,000",unknown,neurodegeneration with brain iron accumulation,Nervous system
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,Nervous system
moyamoya_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"FCMD, Fukuyama congenital muscular dystrophy","1-2 / 1,000,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000",unknown,neurodegeneration with brain iron accumulation,"Nervous system, Muscle"
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000",unknown,malformation of cortical development,Nervous system
walker_warburg_syndrome,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:157850,"PKAN, Pantothenate kinase-associated neurodegeneration","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,cerebrovascular disease,Nervous system
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:2573,"FCMD, Fukuyama congenital muscular dystrophy","<1 / 1,000,000",autosomal recessive,congenital muscular dystrophy,Nervous system
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"FCMD, Fukuyama congenital muscular dystrophy","<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
hallervorden_spatz_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:899,"FCMD, Fukuyama congenital muscular dystrophy","1-9 / 1,000,000",unknown,congenital muscular dystrophy,Nervous system
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",autosomal recessive,cerebrovascular disease,Nervous system
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,"Nervous system, Eye, Muscle"
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:899,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
hallervorden_spatz_disease,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000",unknown,malformation of cortical development,Nervous system
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
hallervorden_spatz_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2573,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:899,"PKAN, Pantothenate kinase-associated neurodegeneration","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","<1 / 1,000,000",multigenic/multifactorial,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:272,"FCMD, Fukuyama congenital muscular dystrophy","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:157850,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:272,"PKAN, Pantothenate kinase-associated neurodegeneration","<1 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,Nervous system
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:157850,"WWS, Cerebro-Oculo-Muscular Syndrome","<1 / 1,000,000",unknown,congenital muscular dystrophy,Nervous system
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,malformation of cortical development,"Nervous system, Eye, Muscle"
moyamoya_disease,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"1-9 / 1,000,000",autosomal recessive,cerebrovascular disease,"Nervous system, Eye, Muscle"
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,Nervous system
pachygyria_cerebellar_hypoplasia,Walker-Warburg Syndrome,ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",unknown,cerebrovascular disease,"Nervous system, Eye, Muscle"
moyamoya_disease,Fukuyama Muscular Dystrophy,ORPHA:2573,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,Nervous system
pachygyria_cerebellar_hypoplasia,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",multigenic/multifactorial,malformation of cortical development,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2573,"PKAN, Pantothenate kinase-associated neurodegeneration","<1 / 1,000,000",autosomal recessive,cerebrovascular disease,Nervous system
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:899,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
hallervorden_spatz_disease,Fukuyama Muscular Dystrophy,ORPHA:272,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,Nervous system
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:272,"FCMD, Fukuyama congenital muscular dystrophy","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
hallervorden_spatz_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:2524,"PKAN, Pantothenate kinase-associated neurodegeneration","<1 / 1,000,000",multigenic/multifactorial,malformation of cortical development,Nervous system
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:2573,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Walker-Warburg Syndrome,ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-5 / 100,000",unknown,neurodegeneration with brain iron accumulation,Nervous system
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:899,"FCMD, Fukuyama congenital muscular dystrophy","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,Nervous system
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:272,"FCMD, Fukuyama congenital muscular dystrophy","<1 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
hallervorden_spatz_disease,Fukuyama Muscular Dystrophy,ORPHA:157850,"FCMD, Fukuyama congenital muscular dystrophy","1-2 / 1,000,000",unknown,cerebrovascular disease,"Nervous system, Muscle"
moyamoya_disease,Walker-Warburg Syndrome,ORPHA:899,"PKAN, Pantothenate kinase-associated neurodegeneration","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,cerebrovascular disease,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",multigenic/multifactorial,malformation of cortical development,Nervous system
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:2573,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
moyamoya_disease,Walker-Warburg Syndrome,ORPHA:157850,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:272,"WWS, Cerebro-Oculo-Muscular Syndrome","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:2573,"PKAN, Pantothenate kinase-associated neurodegeneration","1-5 / 100,000",autosomal recessive,cerebrovascular disease,Nervous system
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,Walker-Warburg Syndrome,ORPHA:157850,"WWS, Cerebro-Oculo-Muscular Syndrome","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:157850,"WWS, Cerebro-Oculo-Muscular Syndrome","<1 / 1,000,000",autosomal recessive,malformation of cortical development,Nervous system
pachygyria_cerebellar_hypoplasia,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:157850,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,neurodegeneration with brain iron accumulation,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:272,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
walker_warburg_syndrome,Fukuyama Muscular Dystrophy,ORPHA:272,"PKAN, Pantothenate kinase-associated neurodegeneration","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
pachygyria_cerebellar_hypoplasia,Walker-Warburg Syndrome,ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",autosomal recessive,malformation of cortical development,"Nervous system, Eye, Muscle"
hallervorden_spatz_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"PKAN, Pantothenate kinase-associated neurodegeneration","<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
hallervorden_spatz_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,neurodegeneration with brain iron accumulation,"Nervous system, Eye, Muscle"
pachygyria_cerebellar_hypoplasia,Walker-Warburg Syndrome,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",unknown,congenital muscular dystrophy,Nervous system
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
fukuyama_muscular_dystrophy,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:899,"PKAN, Pantothenate kinase-associated neurodegeneration","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:272,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
walker_warburg_syndrome,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
moyamoya_disease,Walker-Warburg Syndrome,ORPHA:899,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",autosomal recessive,cerebrovascular disease,Nervous system
fukuyama_muscular_dystrophy,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",multigenic/multifactorial,malformation of cortical development,Nervous system
pachygyria_cerebellar_hypoplasia,Hallervorden-Spatz Disease (Pantothenate Kinase-Associated Neurodegeneration),ORPHA:2573,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",unknown,malformation of cortical development,Nervous system
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","<1 / 1,000,000",multigenic/multifactorial,cerebrovascular disease,"Nervous system, Eye, Muscle"
hallervorden_spatz_disease,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-2 / 1,000,000",unknown,neurodegeneration with brain iron accumulation,"Nervous system, Muscle"
pachygyria_cerebellar_hypoplasia,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,Cerebellar hypoplasia-pachygyria syndrome,"1-2 / 1,000,000",unknown,cerebrovascular disease,Nervous system
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:2573,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-5 / 100,000",multigenic/multifactorial,cerebrovascular disease,Nervous system
fukuyama_muscular_dystrophy,Fukuyama Muscular Dystrophy,ORPHA:899,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Muscle"
moyamoya_disease,Moyamoya Disease with Intraventricular Hemorrhage,ORPHA:272,"PKAN, Pantothenate kinase-associated neurodegeneration","1-9 / 1,000,000",autosomal recessive,cerebrovascular disease,"Nervous system, Muscle"
fukuyama_muscular_dystrophy,Fukuyama Muscular Dystrophy,ORPHA:272,"FCMD, Fukuyama congenital muscular dystrophy","1-5 / 100,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
hallervorden_spatz_disease,Walker-Warburg Syndrome,ORPHA:2573,"Moyamoya angiopathy, Spontaneous occlusion of circle of Willis","1-9 / 1,000,000",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
fukuyama_muscular_dystrophy,Walker-Warburg Syndrome,ORPHA:899,"WWS, Cerebro-Oculo-Muscular Syndrome","1-5 / 100,000 (Japan), <1 / 1,000,000 (worldwide)",autosomal recessive,congenital muscular dystrophy,"Nervous system, Eye, Muscle"
walker_warburg_syndrome,Pachygyria with Cerebellar Hypoplasia,ORPHA:2524,"WWS, Cerebro-Oculo-Muscular Syndrome","1-2 / 1,000,000",autosomal recessive,congenital muscular dystrophy,Nervous system
